aoa,cw1,ca1
-38,0.2515242336,-0.20102853
-23,0.2171716684,-0.2469734499
-14,0.1094377691,-0.1327445433
-10,0.0916046032,-0.0574454118
0,0.1203984085,0.1018425032
10,0.1506318203,0.1223896124
16,0.1280561749,0.1526431584
25,0.1886991739,0.2746607047
34,0.3223501826,0.5983573722
42,0.347275675,0.5808002148
