aoa,cw2,ca2
-23,1.0045377246,-1.0900137545
-14,0.6043528229,-0.9686798049
-10,0.4827672487,-0.5349411863
10,0.4529879008,0.0584914115
16,0.6270499964,0.965948756
25,0.8651802497,1.6589615728
30,1.0948302832,2.4005134596
34,1.3844636323,2.9124080974
42,1.6658127837,2.7195078183
