aoa,cw1,ca1
-38,0.2045914456,-0.2063355685
-23,0.1314637291,-0.2078766632
-14,0.0889568374,-0.1013468161
-10,0.0706549807,-0.0510105227
0,0.0812519637,0.0336394174
10,0.1049282205,0.1125480824
16,0.120876926,0.1891994642
25,0.1442706649,0.2651013288
34,0.2758960658,0.5654924795
42,0.3107460906,0.4584038433
