,pitch (deg),pitch,gamma,aoa,cl,dcl,ddcl,dddcl,cd,dcd,ddcd,dddcd
0,0.556389097274,0.00971082166964,0.921442002622,0.931152824291,1.14412171321,-1.53856489024,7.63243029512,0.0,1.50703896858,1.19476193369,-2.04878295189,0.0
1,0.568892223056,0.00992904238131,0.915765396683,0.925694439064,1.15263349328,-1.58022563501,7.63243029512,0.0,1.500486977,1.20594498029,-2.04878295189,0.0
2,0.581395348837,0.010147263093,0.911777751293,0.921925014386,1.15864425771,-1.60899550612,7.63243029512,0.0,1.49592670311,1.21366771331,-2.04878295189,0.0
3,0.593898474619,0.0103654838047,0.908480342984,0.918845826789,1.16363483977,-1.63249719082,7.63243029512,0.0,1.49217987987,1.21997630037,-2.04878295189,0.0
4,0.6064016004,0.0105837045163,0.905596011392,0.916179715908,1.16801427025,-1.65091175334,-8.74068810011,0.0,1.48891990954,1.22707594573,-15.9081328479,0.0
5,0.618904726182,0.010801925228,0.902909092644,0.913711017872,1.17206323792,-1.62933363379,-8.74068810011,0.0,1.48584215374,1.26634832205,-15.9081328479,0.0
6,0.631407851963,0.0110201459397,0.900326924193,0.911347070133,1.17589047491,-1.60867110391,-8.74068810011,0.0,1.48280412319,1.30395431673,-15.9081328479,0.0
7,0.643910977744,0.0112383666514,0.897833951643,0.909072318294,1.17952718813,-1.58878820759,-8.74068810011,0.0,1.47979679242,1.34014137118,-15.9081328479,0.0
8,0.656414103526,0.0114565873631,0.895431686346,0.906888273709,1.18297632565,-1.56969815507,-8.74068810011,0.0,1.47683192262,1.37488544258,-15.9081328479,0.0
9,0.668917229307,0.0116748080747,0.89310736852,0.904782176594,1.18626287711,-1.55128941708,-8.74068810011,0.0,1.47390099894,1.40838951527,-15.9081328479,0.0
10,0.681420355089,0.0118930287864,0.890856097689,0.902749126476,1.18939866234,-1.5335191601,-8.74068810011,0.0,1.47100479598,1.44073154665,-15.9081328479,0.0
11,0.69392348087,0.0121112494981,0.888673355376,0.900784604874,1.19239442719,-1.51634788952,-8.74068810011,0.0,1.46814375025,1.47198341727,-15.9081328479,0.0
12,0.706426606652,0.0123294702098,0.88655477825,0.89888424846,1.19526024576,-1.49973746682,-8.74068810011,0.0,1.46531773217,1.50221453956,-15.9081328479,0.0
13,0.718929732433,0.0125476909214,0.884496171085,0.897043862007,1.19800553983,-1.48365122285,-8.74068810011,0.0,1.46252613628,1.53149165175,-15.9081328479,0.0
14,0.731432858215,0.0127659116331,0.88249351557,0.895259427203,1.20063910262,-1.4680540348,-8.74068810011,0.0,1.45976796188,1.55987867766,-15.9081328479,0.0
15,0.743935983996,0.0129841323448,0.880542975631,0.893527107976,1.20316912576,-1.45291237274,-8.74068810011,0.0,1.45704188445,1.58743664207,-15.9081328479,0.0
16,0.756439109777,0.0132023530565,0.878640899845,0.891843252902,1.20560322809,-1.43819432073,-8.74068810011,0.0,1.4543463185,1.61422363228,-15.9081328479,0.0
17,0.768942235559,0.0134205737681,0.876783821471,0.890204395239,1.20794848577,-1.42386957707,-8.74068810011,0.0,1.45167947227,1.6402947977,-15.9081328479,0.0
18,0.78144536134,0.0136387944798,0.874972879057,0.888611673537,1.21020522722,-1.40994809343,-8.74068810011,0.0,1.44904676157,1.66563202614,-15.9081328479,0.0
19,0.793948487122,0.0138570151915,0.873202892537,0.887059907728,1.21238261278,-1.3963845925,-8.74068810011,0.0,1.44644293753,1.69031772276,-15.9081328479,0.0
20,0.806451612903,0.0140752359032,0.871469274656,0.885544510559,1.21448865385,-1.38313897849,-8.74068810011,0.0,1.4438631689,1.71442486225,-15.9081328479,0.0
21,0.818954738685,0.0142934566149,0.869774456427,0.884067913042,1.2165214646,-1.37023250015,-8.74068810011,0.0,1.44131431083,1.73791477171,-15.9081328479,0.0
22,0.831457864466,0.0145116773265,0.713988767828,0.728500445155,1.29272080736,-0.498610525925,79.7050930155,0.0,1.12014275539,2.08574233339,-46.9102052264,0.0
23,0.831457864466,0.0145116773265,0.868114195968,0.882625873295,1.21848830629,-1.35762808049,-8.74068810011,0.0,1.43879162834,1.76085493158,-15.9081328479,0.0
24,0.843960990248,0.0147298980382,0.712285036973,0.727014935011,1.29354944258,-0.61701325009,79.7050930155,0.0,1.11699260468,2.15542791909,-46.9102052264,0.0
25,0.843960990248,0.0147298980382,0.866485061928,0.881214959966,1.2203951019,-1.34529572715,-8.74068810011,0.0,1.43629138068,1.78329992825,-15.9081328479,0.0
26,0.856464116029,0.0149481187499,0.711076303114,0.726024421864,1.2941997023,-0.69596219267,79.7050930155,0.0,1.1148346128,2.20189309414,-46.9102052264,0.0
27,0.856464116029,0.0149481187499,0.864890375639,0.879838494389,1.22223857486,-1.33326447086,-8.74068810011,0.0,1.43382165948,1.80519692551,-15.9081328479,0.0
28,0.86896724181,0.0151663394616,0.71003214166,0.725198481121,1.29480171237,-0.761793876347,79.7050930155,0.0,1.11299997903,2.24063814386,-46.9102052264,0.0
29,0.86896724181,0.0151663394616,0.863322153343,0.878488492805,1.22403051903,-1.32146452807,-8.74068810011,0.0,1.43137014445,1.82667293006,-15.9081328479,0.0
30,0.881470367592,0.0153845601732,0.709090509376,0.724475069549,1.29537365868,-0.819453462995,79.7050930155,0.0,1.11136680084,2.27457352917,-46.9102052264,0.0
31,0.881470367592,0.0153845601732,0.861785849438,0.877170409612,1.22576472643,-1.30994357399,-8.74068810011,0.0,1.42894861862,1.8476411726,-15.9081328479,0.0
